[CATEGORY:RENDER];[TIME:21/12/17 13:49:19];[PRIORITY:INFO];[Rendering splash]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:21];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:21];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:21];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:22];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:22];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:22];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:22];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:22];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:22];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:22];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:22];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:23];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:23];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:23];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:23];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:23];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:23];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:23];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:23];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:24];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:24];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:24];[PRIORITY:INFO];[Rendering menu]
[CATEGORY:RENDER];[TIME:21/12/17 13:49:24];[PRIORITY:INFO];[Rendering menu]
